,,,,,,,,,,,,,,,,,,,
State,Total Adult Population,Main Cooking Facility(Charcoal/wood),Pipe borne/bore hole/hand pump,Sanitation(Flush to water/Septic Tank),Housing(Single Room),Network Coverage(Reliable phone network),Digital skills(Comfortable using smartphone apps),Less than N35000,Refused/ Don't know,Daily/weekly,Annually/Seasonally/Occassionally,Formal ,Business owners,Informal,Farming,Dependent,Meeting goals,Liquidity distress,Resilience
ABIA,2252860,1193889,1856701,1148778,457747,1547697,1884206,1095651,860014,1405569,300526,166070,1044608,320165,437413,284604,1763554,1852280,1187307
ADAMAWA,2201713,1985060,1476684,286683,841180,1420057,1550916,628937,1016463,685734,825913,274983,593295,175777,838420,319238,1459981,1569268,1671283
AKWA-IBOM,3259314,2102420,2874011,714042,793001,2604338,2393807,1864179,1069962,1773300,667199,196105,1952020,192158,301409,617622,2581941,2826712,2037355
ANAMBRA,3345161,1097839,2520317,1780340,742917,2735766,2838967,1300862,1314269,2353338,253362,226465,1939651,200534,401306,577205,2299860,2032269,2041188
BAUCHI,3174142,3103570,1588269,184808,965718,1788787,2198228,1768946,1209438,1074810,1292649,155778,956335,263679,932573,865777,2152875,2445687,2168927
BAYELSA,1326548,396368,1132814,686764,543981,893573,1125120,649585,440770,630493,283153,130015,521063,114341,296534,264593,971062,996906,1065780
BENUE,2889351,2715830,485999,366538,1848763,1693608,2259093,1180153,1443779,616421,1669622,167058,683953,298059,1334432,405849,2498946,2298923,2288813
BORNO,2974574,2870610,2305705,167943,1573393,2203888,2383211,1163671,1578356,1178701,602909,396318,1083352,171212,407080,916614,2196808,2131502,1962338
CROSS RIVER,2244802,1552208,1066163,444722,1174137,1458542,1916016,1455711,454592,1317684,355825,178406,1013385,134835,636640,281537,1906618,1969612,1354091
DELTA,3348792,1194560,1955700,1618365,1422017,2341372,2302708,1674279,1277515,1769823,703462,316525,1497278,339774,611445,583769,2532815,2601844,1986183
EBONYI,1574210,1199920,877490,201383,361091,1004425,980139,1123149,294264,691073,473614,91148,540892,159119,442677,340374,1274611,1341439,1120620
EDO,2535625,1288404,1837124,1091591,1100803,2145327,2135467,1461595,651174,1341952,562981,217734,1192958,253403,398251,473279,2210285,2087426,1101443
